student_id,login_frequency_per_week,avg_session_duration_min,video_completion_pct,quiz_attempts,forum_posts,weekend_activity_pct,student_name,course_name,preferred_time_slot,engagement_tier,completed_course
S2001,1.1,26.7,29.1,2,0,53.4,Yusuf Khan,Power BI & Tableau,Morning,Low,No
S2002,1.7,12.9,25.1,0,1,0.0,Fatima Sheikh,Data Science,Afternoon,Low,Yes
S2003,4.9,36.5,55.4,7,4,60.4,Kashif Qureshi,Data Science,Afternoon,Medium,No
S2004,5.2,51.8,88.8,9,14,27.5,Hina Siddiqui,SQL Mastery,Evening,High,Yes
S2005,4.9,68.5,88.3,8,8,11.3,Ahmed Abbasi,Deep Learning Fundamentals,Night,High,Yes
S2006,5.1,37.4,61.2,6,3,33.8,Sarah Iqbal,Business Analytics,Night,Medium,No
S2007,4.5,47.5,61.4,3,5,48.5,Faisal Siddiqui,Python for Beginners,Night,Medium,Yes
S2008,2.9,23.2,78.0,5,4,25.8,Sarah Rizvi,Power BI & Tableau,Afternoon,Medium,Yes
S2009,4.6,45.5,76.9,6,9,16.9,Zoya Malik,SQL Mastery,Morning,High,Yes
S2010,2.1,10.9,51.0,0,1,0.0,Laiba Warsi,Power BI & Tableau,Night,Low,No
S2011,3.3,28.3,73.9,3,5,35.7,Faisal Siddiqui,Deep Learning Fundamentals,Morning,Medium,Yes
S2012,2.9,34.5,58.4,5,1,59.9,Imran Rizvi,Data Science,Morning,Medium,Yes
S2013,5.2,38.6,94.1,8,13,47.2,Laiba Rashid,Machine Learning,Morning,High,Yes
S2014,3.8,11.6,65.7,3,2,46.4,Laiba Chaudhry,Business Analytics,Morning,Medium,No
S2015,0.3,17.7,18.8,1,0,16.1,Faisal Abbasi,Python for Beginners,Evening,Low,No
S2016,4.9,50.7,83.8,10,9,43.1,Talha Rizvi,Business Analytics,Morning,High,Yes
S2017,2.5,40.0,53.6,3,4,13.2,Nida Farooqui,Python for Beginners,Morning,Medium,Yes
